day,ALT
1,28.4
2,24.1
3,25.1
4,25.8
5,23.4
6,25.0
7,25.0
8,21.5
9,27.0
10,26.2
11,23.7
12,24.7
13,26.0
14,24.5
15,24.5
16,22.1
17,26.1
18,25.2
19,25.5
20,38.7
21,28.3
22,25.3
23,24.2
24,42.0
25,24.9
26,22.1
27,24.2
28,20.4
29,27.1
30,24.2
31,42.2
32,27.1
33,21.7
34,26.1
35,20.9
36,23.7
37,22.6
38,40.3
39,28.5
40,24.3
41,26.7
42,24.6
43,26.1
44,23.5
45,21.6
46,21.4
47,25.8
48,29.5
49,25.5
50,24.0
51,28.8
52,25.5
53,25.2
54,25.5
55,24.7
56,24.4
57,22.1
58,26.0
59,24.8
60,49.8
61,24.3
62,21.5
63,25.5
64,29.4
65,25.6
66,24.9
67,24.6
68,25.3
69,27.1
70,25.7
71,31.4
72,28.2
73,29.3
74,32.3
75,32.8
76,29.7
77,31.1
78,32.2
79,30.7
80,27.9
81,33.1
82,33.9
83,33.3
84,30.9
85,32.7
86,32.3
87,33.2
88,36.7
89,37.6
90,36.2
91,36.3
92,36.9
93,35.8
94,36.0
95,35.2
96,36.8
97,41.7
98,39.3
99,37.2
100,37.3
101,52.0
102,39.6
103,40.0
104,36.7
105,40.9
106,39.1
107,43.4
108,41.2
109,44.7
110,40.7
111,41.4
112,42.9
113,44.7
114,44.1
115,40.8
116,44.0
117,44.0
118,43.5
119,43.4
120,48.5
